"FIPS","FIPS County","NYT County","Reporting","Vermin Supreme","Robert Lovitt","Paul Farrell","Eric Elbot","Edward O'Donnell","Richard Weil","Sam Sloan","Keith Judd","Total Write-ins","Bill McGaughey","Star Locke","Willie Wilson","James Valentine","Lloyd Kelso","Calvis Hawes","Brock Hutton","Other","Martin O'Malley","Graham Schwass","Henry Hewes","Bernie Sanders","Michael Steinberg","Hillary Clinton","Rocky De La Fuente","Larry Cohen","Uninstructed","Steve Burke","Mark Stewart Greenstein","Jon Adams","Steven Lipscomb","Raymond Moroz","Edward Sonnino","Uncommitted","No Preference","Bill French","Mark Stewart","John Wolfe","David Thistle","Total Votes",
"KS03","","Congressional Congressional District 3 County, KS","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7671","0","4689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12360",
"KS04","","Congressional Congressional District 4 County, KS","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6588","0","2846","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9434",
"KS01","","Congressional Congressional District 1 County, KS","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4074","0","1833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5907",
"KS02","","Congressional Congressional District 2 County, KS","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8117","0","3225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11342",
"29001","Adair County, MO","Adair County, MO","100","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1153","0","799","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","1961",
"29003","Andrew County, MO","Andrew County, MO","100","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","0","728","0","498","1","0","0","0","0","3","0","0","0","12","0","0","0","0","0","1247",
"29005","Atchison County, MO","Atchison County, MO","100","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","173","0","141","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","317",
"29007","Audrain County, MO","Audrain County, MO","100","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","3","0","4","728","0","749","2","0","0","0","0","2","0","0","0","16","0","0","0","1","0","1509",
"29009","Barry County, MO","Barry County, MO","100","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","2","796","0","874","0","0","0","0","0","1","0","0","0","15","0","0","0","0","0","1693",
"29011","Barton County, MO","Barton County, MO","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","214","0","205","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","426",
"29013","Bates County, MO","Bates County, MO","100","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","1","0","3","632","0","518","3","0","0","0","0","2","0","0","0","22","0","0","0","3","0","1190",
"29015","Benton County, MO","Benton County, MO","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","567","0","669","0","0","0","0","0","0","0","0","0","15","0","0","0","1","0","1254",
"29017","Bollinger County, MO","Bollinger County, MO","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","203","0","242","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","450",
"29019","Boone County, MO","Boone County, MO","100","0","0","0","0","0","0","0","7","0","0","0","6","0","0","0","0","0","18","0","13","15076","0","9628","7","0","0","0","0","5","0","0","0","112","0","0","0","7","0","24879",
"29021","Buchanan County, MO","Buchanan County, MO","100","0","0","0","0","0","0","0","7","0","0","0","7","0","0","0","0","0","6","0","8","4148","0","3443","4","0","0","0","0","8","0","0","0","93","0","0","0","7","0","7731",
"29023","Butler County, MO","Butler County, MO","100","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","2","0","8","766","0","889","6","0","0","0","0","2","0","0","0","5","0","0","0","2","0","1686",
"29025","Caldwell County, MO","Caldwell County, MO","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","314","0","244","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","565",
"29027","Callaway County, MO","Callaway County, MO","100","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","5","0","2","1678","0","1378","2","0","0","0","0","3","0","0","0","18","0","0","0","3","0","3095",
"29029","Camden County, MO","Camden County, MO","100","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","1","0","6","1419","0","1388","2","0","0","0","0","1","0","0","0","15","0","0","0","3","0","2841",
"29031","Cape Girardeau County, MO","Cape Girardeau County, MO","100","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","6","0","4","2335","0","2076","2","0","0","0","0","3","0","0","0","24","0","0","0","2","0","4456",
