"FIPS","FIPS County","NYT County","Reporting","Rand Paul","Elizabeth Gray","Ted Cruz","Marco Rubio","Jeb Bush","Tim Cook","Stephen Comley","Walter Iwachiw","Bobby Jindal","Kevin Huey","David Hall","Total Write-ins","Peter Messina","Andy Martin","John Kasich","Carly Fiorina","Mike Huckabee","Ben Carson","Lindsey Graham","Other","No Preference","Robert Mann","Jim Lynch","Chris Christie","Matt Drozd","Richard Witz","Uninstructed","Joe Robinson","Stephen McCarthy","Brooks Cullison","Chomi Prag","Frank Lynch","Rick Santorum","Donald J. Trump","Uncommitted","Jim Gilmore","George Pataki","Daniel Dyas","Write-In","Total Votes",
"KS03","","Congressional Congressional District 3 County, KS","100","0","0","7337","3849","11","0","0","0","0","0","0","0","0","0","2699","3","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3593","32","0","0","0","0","17583",
"KS04","","Congressional Congressional District 4 County, KS","100","0","0","7963","1730","6","0","0","0","0","0","0","0","0","0","849","4","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3012","19","0","0","0","0","13662",
"KS02","","Congressional Congressional District 2 County, KS","100","0","0","8172","3082","25","0","0","0","0","0","0","0","0","0","1912","6","0","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4400","78","0","0","0","0","17810",
"KS01","","Congressional Congressional District 1 County, KS","100","0","0","11735","3528","36","0","0","0","0","0","0","0","0","0","2335","19","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6057","113","0","0","0","0","24061",
"29001","Adair County, MO","Adair County, MO","100","7","0","1164","299","16","0","0","0","0","0","0","0","0","0","513","3","21","34","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","1404","11","0","0","0","0","3476",
"29003","Andrew County, MO","Andrew County, MO","100","8","0","1290","221","18","0","0","0","0","0","0","0","0","0","404","5","16","43","0","0","0","0","1","14","0","0","0","0","0","0","0","0","3","1457","14","0","0","0","0","3494",
"29005","Atchison County, MO","Atchison County, MO","100","5","0","325","135","4","0","0","0","0","0","0","0","0","0","123","0","2","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","487","9","0","0","0","0","1115",
"29007","Audrain County, MO","Audrain County, MO","100","13","0","1642","229","23","0","0","0","0","0","0","0","0","0","423","3","5","43","0","0","0","0","0","12","0","0","0","0","0","0","0","0","4","1611","20","0","0","0","0","4028",
"29009","Barry County, MO","Barry County, MO","100","16","0","3189","255","20","0","0","0","0","0","0","0","0","0","400","3","28","53","0","0","0","0","0","10","0","0","0","0","0","0","0","0","4","3030","23","0","0","0","0","7031",
"29011","Barton County, MO","Barton County, MO","100","3","0","1560","103","13","0","0","0","0","0","0","0","0","0","170","1","13","30","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","986","7","0","0","0","0","2893",
"29013","Bates County, MO","Bates County, MO","100","6","0","1080","143","16","0","0","0","0","0","0","0","0","0","199","1","16","40","0","0","0","0","0","10","0","0","0","0","0","0","0","0","2","1306","18","0","0","0","0","2837",
"29015","Benton County, MO","Benton County, MO","100","8","0","1314","138","14","0","0","0","0","0","0","0","0","0","287","3","7","45","0","0","0","0","0","4","0","0","0","0","0","0","0","0","4","2278","10","0","0","0","0","4112",
"29017","Bollinger County, MO","Bollinger County, MO","100","3","0","1111","98","10","0","0","0","0","0","0","0","0","0","141","1","3","18","0","0","0","0","1","8","0","0","0","0","0","0","0","0","0","1272","6","0","0","0","0","2672",
"29019","Boone County, MO","Boone County, MO","100","62","0","11219","2106","91","0","0","0","0","0","0","0","0","0","3728","27","26","229","0","0","0","0","8","45","0","0","0","0","0","0","0","0","27","7898","103","0","0","0","0","25569",
"29021","Buchanan County, MO","Buchanan County, MO","100","27","0","3878","847","46","0","0","0","0","0","0","0","0","0","1478","11","40","150","0","0","0","0","2","27","0","0","0","0","0","0","0","0","11","4691","55","0","0","0","0","11263",
"29023","Butler County, MO","Butler County, MO","100","15","0","2676","324","18","0","0","0","0","0","0","0","0","0","427","1","21","76","0","0","0","0","0","11","0","0","0","0","0","0","0","0","3","3652","12","0","0","0","0","7236",
"29025","Caldwell County, MO","Caldwell County, MO","100","2","0","701","96","12","0","0","0","0","0","0","0","0","0","149","2","11","17","0","0","0","0","1","2","0","0","0","0","0","0","0","0","3","780","10","0","0","0","0","1786",
"29027","Callaway County, MO","Callaway County, MO","100","15","0","3261","366","31","0","0","0","0","0","0","0","0","0","584","6","17","90","0","0","0","0","0","13","0","0","0","0","0","0","0","0","7","3141","14","0","0","0","0","7545",
"29029","Camden County, MO","Camden County, MO","100","8","0","2985","473","28","0","0","0","0","0","0","0","0","0","846","2","27","80","0","0","0","0","1","16","0","0","0","0","0","0","0","0","3","5467","25","0","0","0","0","9961",
"29031","Cape Girardeau County, MO","Cape Girardeau County, MO","100","27","0","7332","694","45","0","0","0","0","0","0","0","0","0","1245","11","29","115","0","0","0","0","0","30","0","0","0","0","0","0","0","0","11","6137","56","0","0","0","0","15732",
"29033","Carroll County, MO","Carroll County, MO","100","1","0","656","90","11","0","0","0","0","0","0","0","0","0","150","1","10","19","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1004","12","0","0","0","0","1957",
"29035","Carter County, MO","Carter County, MO","100","2","0","404","50","4","0","0","0","0","0","0","0","0","0","59","0","9","6","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","623","2","0","0","0","0","1164",
"29037","Cass County, MO","Cass County, MO","100","30","0","7671","1064","52","0","0","0","0","0","0","0","0","0","1648","14","33","161","0","0","0","0","4","33","0","0","0","0","0","0","0","0","16","6886","59","0","0","0","0","17671",
"29039","Cedar County, MO","Cedar County, MO","100","10","0","1404","102","10","0","0","0","0","0","0","0","0","0","182","4","12","50","0","0","0","0","1","7","0","0","0","0","0","0","0","0","4","1355","14","0","0","0","0","3155",
"29041","Chariton County, MO","Chariton County, MO","100","0","0","569","74","3","0","0","0","0","0","0","0","0","0","132","0","5","19","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","597","3","0","0","0","0","1410",
"29043","Christian County, MO","Christian County, MO","100","33","0","10586","833","39","0","0","0","0","0","0","0","0","0","1181","8","51","154","0","0","0","0","0","23","0","0","0","0","0","0","0","0","12","6907","37","0","0","0","0","19864",
"29045","Clark County, MO","Clark County, MO","100","4","0","456","51","6","0","0","0","0","0","0","0","0","0","77","2","3","25","0","0","0","0","1","5","0","0","0","0","0","0","0","0","2","545","4","0","0","0","0","1181",
"29047","Clay County, MO","Clay County, MO","100","69","0","13559","2368","117","0","0","0","0","0","0","0","0","0","3884","27","50","231","0","0","0","0","6","49","0","0","0","0","0","0","0","0","15","12291","111","0","0","0","0","32777",
"29049","Clinton County, MO","Clinton County, MO","100","9","0","1394","211","12","0","0","0","0","0","0","0","0","0","277","2","7","48","0","0","0","0","3","11","0","0","0","0","0","0","0","0","5","1635","19","0","0","0","0","3633",
"29051","Cole County, MO","Cole County, MO","100","23","0","6159","1065","61","0","0","0","0","0","0","0","0","0","1587","12","38","163","0","0","0","0","2","26","0","0","0","0","0","0","0","0","8","5553","46","0","0","0","0","14743",
"29053","Cooper County, MO","Cooper County, MO","100","4","0","1369","137","14","0","0","0","0","0","0","0","0","0","256","1","6","32","0","0","0","0","0","4","0","0","0","0","0","0","0","0","3","1248","5","0","0","0","0","3079",
"29055","Crawford County, MO","Crawford County, MO","100","10","0","1522","152","21","0","0","0","0","0","0","0","0","0","155","3","8","34","0","0","0","0","0","9","0","0","0","0","0","0","0","0","4","2189","24","0","0","0","0","4131",
"29057","Dade County, MO","Dade County, MO","100","2","0","997","69","8","0","0","0","0","0","0","0","0","0","112","0","9","19","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","787","5","0","0","0","0","2013",
"29059","Dallas County, MO","Dallas County, MO","100","8","0","1618","126","10","0","0","0","0","0","0","0","0","0","179","0","7","21","0","0","0","0","0","5","0","0","0","0","0","0","0","0","2","1672","6","0","0","0","0","3654",
"29061","Daviess County, MO","Daviess County, MO","100","2","0","410","74","3","0","0","0","0","0","0","0","0","0","105","1","6","11","0","0","0","0","0","5","0","0","0","0","0","0","0","0","2","634","7","0","0","0","0","1260",
"29063","DeKalb County, MO","DeKalb County, MO","100","5","0","718","105","3","0","0","0","0","0","0","0","0","0","127","1","3","34","0","0","0","0","0","6","0","0","0","0","0","0","0","0","3","800","12","0","0","0","0","1817",
"29065","Dent County, MO","Dent County, MO","100","3","0","1198","139","14","0","0","0","0","0","0","0","0","0","168","2","23","33","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","1688","8","0","0","0","0","3281",
"29067","Douglas County, MO","Douglas County, MO","100","8","0","1155","93","10","0","0","0","0","0","0","0","0","0","133","1","15","38","0","0","0","0","0","7","0","0","0","0","0","0","0","0","2","1657","20","0","0","0","0","3139",
"29069","Dunklin County, MO","Dunklin County, MO","100","6","0","1037","113","10","0","0","0","0","0","0","0","0","0","179","1","8","36","0","0","0","0","1","4","0","0","0","0","0","0","0","0","1","1781","7","0","0","0","0","3184",
"29071","Franklin County, MO","Franklin County, MO","100","40","0","8117","1148","91","0","0","0","0","0","0","0","0","0","1561","16","53","170","0","0","0","0","0","38","0","0","0","0","0","0","0","0","18","9080","76","0","0","0","0","20408",
"29073","Gasconade County, MO","Gasconade County, MO","100","8","0","1276","141","10","0","0","0","0","0","0","0","0","0","203","0","8","39","0","0","0","0","0","10","0","0","0","0","0","0","0","0","4","1429","15","0","0","0","0","3143",
"29075","Gentry County, MO","Gentry County, MO","100","0","0","405","69","3","0","0","0","0","0","0","0","0","0","116","0","10","22","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","435","4","0","0","0","0","1070",
"29077","Greene County, MO","Greene County, MO","100","102","0","26784","2684","155","0","0","0","0","0","0","0","0","0","4618","14","107","460","0","0","0","0","2","72","0","0","0","0","0","0","0","0","42","16649","131","0","0","0","0","51820",
"29079","Grundy County, MO","Grundy County, MO","100","3","0","673","79","9","0","0","0","0","0","0","0","0","0","163","1","11","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","978","7","0","0","0","0","1952",
"29081","Harrison County, MO","Harrison County, MO","100","6","0","591","85","9","0","0","0","0","0","0","0","0","0","141","2","4","16","0","0","0","0","2","5","0","0","0","0","0","0","0","0","2","755","7","0","0","0","0","1625",
"29083","Henry County, MO","Henry County, MO","100","8","0","1395","191","11","0","0","0","0","0","0","0","0","0","354","1","18","35","0","0","0","0","1","6","0","0","0","0","0","0","0","0","1","1636","16","0","0","0","0","3673",
"29085","Hickory County, MO","Hickory County, MO","100","0","0","178","30","4","0","0","0","0","0","0","0","0","0","19","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","297","8","0","0","0","0","541",
"29087","Holt County, MO","Holt County, MO","100","3","0","381","69","3","0","0","0","0","0","0","0","0","0","81","1","4","8","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","504","7","0","0","0","0","1069",
