Language,Gloss,LexicalClass,SelectedFingers,Handshape,Location,Movement
ASL,shave,Verb,imrp,1,Cheek,BackAndForth
ASL,girl,Noun,thumb,3,Cheek,Curved
ASL,candy_1,Noun,i,7,Cheek,None
ASL,pretend,Verb,i,7,Cheek,BackAndForth
ASL,sister,Noun,i,7,Cheek,Straight
ASL,smile,Noun,i,7,Cheek,Curved
ASL,tear,Verb,i,7,Cheek,Straight
ASL,laugh,Verb,i,8,Cheek,None
ASL,apple,Noun,i,9,Cheek,None
ASL,razor,Noun,i,9,Cheek,BackAndForth
ASL,call,Verb,p,34,Cheek,Curved
ASL,telephone,Noun,p,34,Cheek,BackAndForth
ASL,wine,Noun,p,38,Cheek,Circular
ASL,cat,Noun,i,42,Cheek,BackAndForth
ASL,fruit,Noun,i,42,Cheek,None
ASL,brown,Adjective,imrp,48,Cheek,Straight
ASL,peach,Noun,imrp,51,Cheek,None
ASL,home,Adverb,imrp,51,Cheek,Curved
ASL,homework,Noun,imrp,51,Cheek,Curved
ASL,experience,Noun,imrp,51,Cheek,BackAndForth
ASL,tiger,Noun,imrp,57,Cheek,BackAndForth
ASL,dormitory,Noun,mrp,62,Cheek,Curved
ASL,bed,Noun,imrp,65,Cheek,None
ASL,beer,Noun,imrp,65,Cheek,BackAndForth
ASL,freckles,Noun,imrp,74,Cheek,BackAndForth
ASL,shame,Noun,imrp,76,Cheek,Curved
ASL,shy,Adjective,imrp,76,Cheek,None
ASL,tobacco,Noun,imrp,88,Cheek,None
ASL,jealous,Adjective,p,92,Cheek,Circular
ASL,adult,Noun,imrp,50,Cheek,Circular
ASL,beard,Noun,imrp,74,Cheek,Curved
ASL,icecream,Noun,imrp,1,Chin,Circular
ASL,mother,Noun,thumb,3,Chin,BackAndForth
ASL,yesterday,Adverb,thumb,3,Chin,Curved
ASL,announce,Verb,i,7,Chin,Straight
ASL,cereal,Noun,i,7,Chin,Straight
ASL,dryer,Noun,i,7,Chin,Straight
ASL,hearing,Verb,i,7,Chin,Circular
ASL,humble,Adjective,i,7,Chin,None
ASL,lemon,Noun,i,7,Chin,None
ASL,lonely,Adjective,i,7,Chin,BackAndForth
ASL,order_2,Noun,i,7,Chin,Other
ASL,promise,Verb,i,7,Chin,None
ASL,really,Adverb,i,7,Chin,Straight
ASL,red,Adjective,i,7,Chin,None
ASL,russia,Name,i,7,Chin,Other
ASL,serious,Adjective,i,7,Chin,None
ASL,tell,Verb,i,7,Chin,Curved
ASL,who,Minor,i,7,Chin,None
ASL,desert,Noun,i,9,Chin,Straight
ASL,birthday,Noun,m,13,Chin,Curved
ASL,favorite,Noun,m,13,Chin,BackAndForth
ASL,scarcely,Adverb,m,13,Chin,Circular
ASL,disney,Name,m,14,Chin,None
ASL,flashlight,Noun,m,14,Chin,None
ASL,lucky,Adjective,m,15,Chin,Straight
ASL,israel,Noun,p,17,Chin,BackAndForth
ASL,pipe,Noun,p,17,Chin,BackAndForth
ASL,cute_1,Adjective,im,19,Chin,None
ASL,cute_2,Adjective,im,19,Chin,None
ASL,candy_2,Noun,im,20,Chin,None
ASL,restaurant,Noun,im,23,Chin,Other
ASL,gay,Adjective,i,26,Chin,BackAndForth
ASL,gossip,Noun,i,26,Chin,Circular
ASL,vegetable,Noun,im,28,Chin,None
ASL,verb,Noun,im,28,Chin,BackAndForth
ASL,goat,Noun,im,31,Chin,Other
ASL,squirrel,Noun,im,31,Chin,BackAndForth
ASL,pink,Adjective,im,33,Chin,BackAndForth
ASL,wrong,Adjective,p,34,Chin,BackAndForth
ASL,wrong,Adjective,p,34,Chin,None
ASL,water,Noun,imr,38,Chin,BackAndForth
ASL,talk,Verb,imrp,47,Chin,BackAndForth
ASL,frustrate,Verb,imrp,48,Chin,BackAndForth
ASL,quiet,Adjective,imrp,48,Chin,Curved
ASL,bad,Adjective,imrp,49,Chin,Straight
ASL,lie,Verb,imrp,49,Chin,Straight
ASL,good,Adjective,imrp,49,Chin,Straight
ASL,jewish,Adjective,imrp,51,Chin,BackAndForth
ASL,kiss,Noun,imrp,51,Chin,BackAndForth
ASL,old,Adjective,imrp,54,Chin,Straight
ASL,cafeteria,Noun,imrp,54,Chin,BackAndForth
ASL,color,Noun,imrp,57,Chin,None
ASL,grandmother,Noun,imrp,57,Chin,Other
ASL,parents,Noun,imrp,57,Chin,Curved
ASL,woman,Noun,imrp,57,Chin,Straight
ASL,farm,Noun,thumb,57,Chin,BackAndForth
ASL,bird,Noun,i,63,Chin,None
ASL,age,Noun,imrp,74,Chin,Straight
ASL,orange,Noun,imrp,74,Chin,None
ASL,wife,Noun,imrp,74,Chin,Straight
ASL,deny,Verb,thumb,3,Chin:Und,BackAndForth
ASL,metal,Noun,i,9,Chin:Und,BackAndForth
ASL,turkey,Noun,i,26,Chin:Und,Other
ASL,pig,Noun,imrp,49,Chin:Und,None
ASL,grass,Noun,imrp,55,Chin:Und,BackAndForth
ASL,dirty,Adjective,imrp,57,Chin:Und,None
ASL,frog,Noun,im,94,Chin:Und,BackAndForth
ASL,exercise,Noun,imrp,1,Clavicle,BackAndForth
ASL,staff,Noun,imrp,1,Clavicle,Curved
ASL,act,Verb,thumb,3,Clavicle,Circular
ASL,actor,Noun,thumb,3,Clavicle,Circular
ASL,army,Noun,imrp,3,Clavicle,BackAndForth
ASL,bath,Noun,thumb,3,Clavicle,BackAndForth
ASL,canada,Name,imrp,3,Clavicle,BackAndForth
ASL,theater,Noun,thumb,3,Clavicle,Circular
ASL,gorilla,Noun,imrp,3,Clavicle,BackAndForth
ASL,china,Name,i,7,Clavicle,None
ASL,lazy,Adjective,i,7,Clavicle,BackAndForth
ASL,loyal,Adjective,i,8,Clavicle,Circular
ASL,policeman,Noun,i,9,Clavicle,BackAndForth
ASL,religion,Noun,im,23,Clavicle,Curved
ASL,guilty,Adjective,i,26,Clavicle,BackAndForth
ASL,queen,Noun,i,26,Clavicle,Curved
ASL,king,Noun,im,33,Clavicle,Curved
ASL,benefit,Noun,i,42,Clavicle,BackAndForth
ASL,shirt,Noun,i,42,Clavicle,BackAndForth
ASL,blanket,Noun,imrp,49,Clavicle,BackAndForth
ASL,body,Noun,imrp,49,Clavicle,Straight
ASL,happy,Adjective,imrp,49,Clavicle,Circular
ASL,animal,Noun,imrp,50,Clavicle,BackAndForth
ASL,have,Verb,imrp,50,Clavicle,Straight
ASL,prefer,Verb,imrp,50,Clavicle,Straight
ASL,young,Adjective,imrp,50,Clavicle,Circular
ASL,own,Verb,imrp,51,Clavicle,Curved
ASL,character,Noun,imrp,54,Clavicle,Circular
ASL,emotion,Noun,imrp,56,Clavicle,Circular
ASL,emperor,Noun,imrp,56,Clavicle,Curved
ASL,bear,Noun,imrp,57,Clavicle,BackAndForth
ASL,dress,Noun,imrp,57,Clavicle,Curved
ASL,wear,Verb,imrp,57,Clavicle,Curved
ASL,holiday,Noun,thumb,57,Clavicle,BackAndForth
ASL,vacation,Noun,thumb,57,Clavicle,BackAndForth
ASL,angry,Adjective,imrp,58,Clavicle,Curved
ASL,brave,Adjective,imrp,74,Clavicle,Straight
ASL,health,Verb,imrp,74,Clavicle,Straight
ASL,sweater,Noun,imrp,76,Clavicle,Curved
ASL,tired,Adjective,imrp,76,Clavicle,Curved
ASL,mime,Noun,imrp,88,Clavicle,Circular
ASL,silver,Noun,imrp,1,Ear,BackAndForth
ASL,crazy,Adjective,i,7,Ear,Circular
ASL,hairdryer,Noun,i,7,Ear,BackAndForth
ASL,loud,Adverb,i,7,Ear,BackAndForth
ASL,stethoscope,Noun,i,7,Ear,None
ASL,earring,Noun,i,9,Ear,None
ASL,hearing_aid,Noun,i,9,Ear,BackAndForth
ASL,ear,Noun,i,42,Ear,BackAndForth
ASL,cousin,Noun,imrp,54,Ear,None
ASL,headphones,Noun,imrp,54,Ear,BackAndForth
ASL,radio,Noun,imrp,91,Ear,None
ASL,nephew,Noun,im,96,Ear,None
ASL,poor,Adjective,imrp,51,Elbow,BackAndForth
ASL,inject,Verb,i,7,Elbow,Straight
ASL,owl,Noun,imrp,2,Eye,BackAndForth
ASL,brother,Noun,thumb,3,Eye,None
ASL,remember,Verb,thumb,3,Eye,Straight
ASL,accomplish,Verb,i,7,Eye,Straight
ASL,agreement,Noun,i,7,Eye,None
ASL,believe,Verb,i,7,Eye,None
ASL,cry,Verb,i,7,Eye,BackAndForth
ASL,decide,Verb,i,7,Eye,None
ASL,disagreement,Noun,i,7,Eye,None
ASL,dream,Noun,i,7,Eye,Straight
ASL,eyes,Noun,i,7,Eye,Curved
ASL,for,Minor,i,7,Eye,Curved
ASL,forever,Adverb,i,7,Eye,None
ASL,gold,Noun,i,7,Eye,None
ASL,government,Noun,i,7,Eye,Other
ASL,hope,Verb,i,7,Eye,None
ASL,mascara,Noun,i,7,Eye,None
ASL,shocked,Adjective,i,7,Eye,None
ASL,suspect,Noun,i,7,Eye,None
ASL,what_for,Minor,i,7,Eye,None
ASL,penny,Noun,i,7,Eye,Straight
ASL,think,Verb,i,7,Eye,None
ASL,eyeglasses,Noun,i,9,Eye,BackAndForth
