Category,Occupation,all.n,all.earn,all.earn.se,f.n,f.earn,f.earn.se,m.n,m.earn,m.earn.se
Management occupations,Chief executives,"1,150","2,303",23,318,"1,876",110,832,"2,419",76
Management occupations,General and operations managers,876,"1,266",30,250,"1,037",78,626,"1,358",23
Management occupations,Legislators,11,,,6,,,6,,
Management occupations,Advertising and promotions managers,56,"1,332",45,32,,,24,,
Management occupations,Marketing and sales managers,921,"1,468",40,403,"1,142",49,518,"1,745",42
Management occupations,Public relations and fundraising managers,60,"1,532",230,38,,,21,,
Management occupations,Administrative services managers,172,"1,261",54,71,952,50,101,"1,398",49
Management occupations,Computer and information systems managers,592,"1,738",24,150,"1,680",101,443,"1,756",37
Management occupations,Financial managers,"1,105","1,423",35,578,"1,157",24,527,"1,670",87
Management occupations,Compensation and benefits managers,16,,,12,,,3,,
Management occupations,Human resources managers,263,"1,340",31,190,"1,283",57,73,"1,737",109
Management occupations,Training and development managers,58,"1,507",147,31,,,27,,
Management occupations,Industrial production managers,267,"1,361",51,66,"1,219",138,201,"1,409",104
Management occupations,Purchasing managers,187,"1,274",137,92,"1,169",39,95,"1,400",48
Management occupations,"Transportation, storage, and distribution managers",288,990,40,51,988,424,237,990,37
Management occupations,"Farmers, ranchers, and other agricultural managers",119,892,78,17,,,102,906,84
Management occupations,Construction managers,487,"1,395",40,35,,,452,"1,401",39
Management occupations,Education administrators,838,"1,381",28,541,"1,280",45,297,"1,528",98
Management occupations,Architectural and engineering managers,143,"2,258",130,9,,,134,"2,265",124
Management occupations,Food service managers,760,739,17,350,632,28,410,853,47
Management occupations,Funeral service managers,13,,,1,,,11,,
Management occupations,Gaming managers,18,,,4,,,14,,
Management occupations,Lodging managers,124,929,48,64,764,59,59,"1,068",69
Management occupations,Medical and health services managers,533,"1,402",67,399,"1,254",55,133,"1,610",47
Management occupations,Natural sciences managers,14,,,8,,,6,,
Management occupations,Postmasters and mail superintendents,23,,,11,,,12,,
Management occupations,"Property, real estate, and community association managers",402,959,51,221,815,35,181,"1,157",50
