country,surveyelapse,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,operatingsystem,browser,screenw,screenh,introelapse,testelapse,extroversion,neuroticism,agreeableness,conscientiousness,openness,grit,vocabulary
RO,174,4,3,female,2,28,right,1,1,white or indigenous,yes,never,2,Windows,Chrome,1366,768,69590,307,1,18,19,4,26,0,10
US,120,2,3,female,1,19,right,6,1,white or indigenous,no,never,3,Macintosh,Chrome,1280,800,33657,134,10,30,15,11,24,-5,6
US,99,1,2,female,2,16,right,0,1,asian,no,never,3,Windows,Firefox,1920,1080,95550,138,-12,23,9,10,23,-3,11
KE,5098,3,2,female,1,30,right,6,1,black,yes,never,6,Windows,Chrome,1600,900,4,4440,-11,6,20,20,22,-16,8
JP,340,4,2,male,2,38,right,2,1,asian,no,currently,3,Windows,Firefox,1920,1080,3,337,-18,23,9,14,12,-1,4
AU,515,3,3,female,2,23,right,12,1,asian,no,NA,1,Windows,Chrome,1920,1080,2090,554,12,2,18,18,28,-11,6
US,126,3,2,male,1,35,right,3,1,white or indigenous,no,previously,1,Windows,Chrome,1366,768,36,212,10,28,12,10,32,5,13
RO,208,2,1,male,2,22,right,7,3,other,no,never,2,Windows,Chrome,1366,768,6,207,0,32,13,18,17,6,6
EU,130,3,3,male,2,50,right,12,1,white or indigenous,no,previously,3,Windows,Microsoft Internet Explorer,1600,1000,14,183,14,3,23,16,25,-15,12
NZ,129,1,2,female,1,16,right,1,1,white or indigenous,no,never,2,Macintosh,Chrome,1440,900,68,143,11,20,23,10,22,-8,9
AE,592,3,1,male,2,52,right,8,1,asian,yes,previously,3,Windows,Chrome,1280,1024,726,311,0,2,12,14,16,-2,6
AU,217,2,2,female,1,20,left,12,1,white or indigenous,yes,never,1,Windows,Firefox,1366,768,376,407,-10,37,10,15,26,12,7
US,262,3,3,female,1,23,right,4,1,white or indigenous,no,never,3,iOS,ChromeiOS,320,568,3,831,0,13,20,13,22,-15,9
MY,204,2,3,female,2,20,right,10,1,asian,no,never,9,Windows,Chrome,1920,1080,3,371,-1,17,11,7,25,11,8
FI,181,2,3,female,2,23,left,6,1,white or indigenous,yes,never,3,Windows,Chrome,1366,768,17,195,4,27,11,-7,15,11,6
AU,252,1,3,female,1,17,right,12,2,white or indigenous,no,never,3,Windows,Chrome,1920,1200,6,235,-13,25,3,6,10,10,7
AU,95,3,3,male,2,23,right,12,1,asian,no,never,1,Windows,Chrome,1920,1080,485,411,12,2,18,18,28,-11,5
NO,327,3,2,female,2,23,right,2,1,white or indigenous,yes,never,3,Macintosh,Chrome,1280,800,3,303,5,21,24,14,24,-2,12
MY,219,2,3,female,2,18,right,10,4,asian,no,never,2,Windows,Microsoft Internet Explorer,1366,768,3,353,7,25,22,11,20,-7,2
PK,267,4,1,female,2,24,right,10,2,asian,no,never,0,Windows,Chrome,1024,768,9,287,6,7,13,18,24,-12,6
GB,193,2,3,female,1,27,left,1,1,white or indigenous,no,currently,1,iOS,ChromeiOS,768,1024,3,444,-13,36,8,-3,13,10,7
