Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Left amount (oz.),Right amount (oz.),Total amount (oz.),Note
"8/15/18, 11:00",,,,,,,4.5
"8/13/18, 11:30",,,,,,,3
"8/10/18, 15:30",,,,,,,3
"8/10/18, 10:00",,,,,,,2.5
"8/9/18, 11:45",,,,,,,4.5
"8/8/18, 09:45",,,,,,,3.5
"8/7/18, 09:30",,,,,,,2
"8/6/18, 15:00",,,,,,,1.5
"8/6/18, 11:15",,,,,,,3.5
"7/27/18, 12:00",,,,,,,3
"7/27/18, 09:00",,,,,,,4.5
"7/26/18, 12:15",,,,,,,3
"7/26/18, 09:00",,,,,,,0.5
"7/25/18, 15:30",,,,,,,3.5
"7/25/18, 13:15",,,,,,,3
"7/25/18, 09:30",,,,,,,3
"7/24/18, 13:30",,,,,,,3
"7/24/18, 09:00",,,,,,,3
"7/23/18, 15:00",,,,,,,1.5
"7/23/18, 12:00",,,,,,,2.5
"7/23/18, 09:00",,,,,,,3.5
"7/3/18, 15:30",,,,,,,2.5
"7/3/18, 12:30",,,,,,,3
"7/3/18, 09:15",,,,,,,5
"7/2/18, 15:00",,,,,,,3
"7/2/18, 12:00",,,,,,,4
"7/2/18, 09:00",,,,,,,5
"6/29/18, 15:00",,,,,,,3.5
"6/29/18, 12:00",,,,,,,3
"6/29/18, 09:00",,,,,,,4
"6/28/18, 12:00",,,,,,,2.5
"6/28/18, 09:00",,,,,,,7
"6/27/18, 12:00",,,,,,,4.5
"6/27/18, 09:00",,,,,,,4.5
"6/26/18, 12:00",,,,,,,3
"6/26/18, 09:15",,,,,,,6.5
"6/25/18, 15:00",,,,,,,3.5
"6/25/18, 12:00",,,,,,,2.5
"6/25/18, 09:30",,,,,,,5
"6/22/18, 15:45",,,,,,,4.5
"6/22/18, 12:00",,,,,,,3
"6/22/18, 09:00",,,,,,,5.5
"6/22/18, 07:00",,,,,,,1.5
"6/21/18, 15:00",,,,,,,4.5
"6/21/18, 12:15",,,,,,,4
"6/20/18, 12:00",,,,,,,3.5
"6/20/18, 09:00",,,,,,,4.5
"6/20/18, 06:30",,,,,,,3
"6/19/18, 12:15",,,,,,,1.5
"6/19/18, 09:00",,,,,,,7
"6/19/18, 06:30",,,,,,,2.5
"6/18/18, 12:00",,,,,,,2.5
"6/18/18, 07:00",,,,,,,1.5
"6/15/18, 15:30",,,,,,,4
"6/15/18, 13:15",,,,,,,5
"6/15/18, 09:00",,,,,,,5.5
"6/15/18, 06:45",,,,,,,3
"6/14/18, 15:00",,,,,,,6
"6/14/18, 09:00",,,,,,,5.5
"6/14/18, 06:30",,,,,,,2
"6/13/18, 15:00",,,,,,,2.5
"6/13/18, 12:00",,,,,,,4.5
"6/13/18, 09:00",,,,,,,5
"6/13/18, 06:30",,,,,,,2.5
"6/12/18, 15:00",,,,,,,5
"6/12/18, 12:00",,,,,,,3.5
"6/12/18, 09:00",,,,,,,5.5
"6/12/18, 06:15",,,,,,,2.5
"6/11/18, 15:00",,,,,,,4
"6/11/18, 12:00",,,,,,,4
"6/11/18, 09:59",,,,,,,6
"6/11/18, 07:00",,,,,,,3
"6/10/18, 06:30",,,,,,,2
"6/9/18, 06:30",,,,,,,3
"6/8/18, 12:15",,,,,,,4
"6/8/18, 09:00",,,,,,,6
"6/8/18, 06:00",,,,,,,3.5
"6/7/18, 15:00",,,,,,,4
"6/7/18, 12:15",,,,,,,3.5
"6/7/18, 09:45",,,,,,,2.5
"5/31/18, 16:00",,,,,,,4
"5/31/18, 12:00",,,,,,,3.5
"5/31/18, 09:00",,,,,,,4
"5/30/18, 15:00",,,,,,,1.5
"5/30/18, 12:30",,,,,,,2.5
"5/30/18, 12:00",,,,,,,1.5
"5/30/18, 09:30",,,,,,,2.5
"5/30/18, 09:00",,,,,,,4
"5/29/18, 15:44",,,,,,,3
"5/29/18, 15:00",,,,,,,3
"5/29/18, 09:00",,,,,,,4
"5/28/18, 07:00",,,,,,,1
"5/24/18, 15:00",,,,,,,4
"5/24/18, 12:00",,,,,,,3.5
"5/24/18, 09:00",,,,,,,6
"5/23/18, 15:00",,,,,,,3.5
"5/23/18, 12:00",,,,,,,5
"5/23/18, 09:00",,,,,,,5
"5/23/18, 06:30",,,,,,,9
"5/22/18, 15:00",,,,,,,2
"5/22/18, 12:00",,,,,,,4.5
"5/22/18, 09:00",,,,,,,4.5
"5/21/18, 15:00",,,,,,,3
"5/21/18, 12:00",,,,,,,4.5
"5/21/18, 09:00",,,,,,,3.5
"5/19/18, 06:45",,,,,,,6.5
"5/18/18, 15:00",,,,,,,4
"5/18/18, 12:00",,,,,,,4.5
"5/18/18, 09:00",,,,,,,3.5
"5/17/18, 15:00",,,,,,,3.5
"5/17/18, 12:45",,,,,,,5
"5/17/18, 09:00",,,,,,,4.5
"5/16/18, 14:30",,,,,,,2
"5/16/18, 09:00",,,,,,,4.5
"5/15/18, 09:00",,,,,,,4.5
"5/14/18, 15:00",,,,,,,4.5
"5/14/18, 12:00",,,,,,,5.5
"5/14/18, 09:00",,,,,,,3.5
"5/11/18, 15:00",,,,,,,2.5
"5/11/18, 12:00",,,,,,,5
"5/11/18, 09:00",,,,,,,4
"5/10/18, 14:00",,,,,,,4.5
"5/10/18, 11:00",,,,,,,7
"5/9/18, 16:15",,,,,,,4.5
"5/9/18, 13:00",,,,,,,3
"5/9/18, 09:00",,,,,,,7
"5/8/18, 18:00",,,,,,,3.5
"5/8/18, 12:00",,,,,,,4.5
"5/8/18, 09:00",,,,,,,4.5
"5/7/18, 06:00",,,,,,,6.5
"5/5/18, 10:30",,,,,,,5.5
"5/4/18, 15:00",,,,,,,4
"5/4/18, 12:00",,,,,,,5.5
"5/4/18, 09:00",,,,,,,8
"5/4/18, 06:30",,,,,,,8
"5/3/18, 15:00",,,,,,,5
"5/3/18, 12:00",,,,,,,2
"5/3/18, 09:30",,,,,,,7
"5/3/18, 06:45",,,,,,,4
"5/2/18, 15:00",,,,,,,5
"5/2/18, 12:00",,,,,,,6.5
"5/2/18, 09:00",,,,,,,5
"5/2/18, 06:30",,,,,,,5.5
"5/1/18, 15:00",,,,,,,4.5
"5/1/18, 12:30",,,,,,,5
"5/1/18, 09:00",,,,,,,8
"5/1/18, 06:45",,,,,,,6.5
"4/30/18, 09:00",,,,,,,7
"4/30/18, 06:45",,,,,,,6.5
"4/27/18, 12:00",,,,,,,3
"4/27/18, 09:00",,,,,,,4.5
"4/27/18, 06:30",,,,,,,6
"4/26/18, 15:00",,,,,,,4.5
"4/26/18, 12:00",,,,,,,4.5
"4/26/18, 09:30",,,,,,,5
"4/26/18, 06:30",,,,,,,7
"4/25/18, 15:00",,,,,,,2.5
"4/25/18, 12:00",,,,,,,5.5
"4/25/18, 09:00",,,,,,,4
"4/24/18, 12:00",,,,,,,4.5
"4/24/18, 09:00",,,,,,,6
"4/24/18, 06:15",,,,,,,6
"4/23/18, 09:00",,,,,,,7.5
"4/23/18, 06:30",,,,,,,5
"4/20/18, 15:30",,,,,,,5.5
"4/20/18, 12:00",,,,,,,4.5
"4/20/18, 09:00",,,,,,,5.5
"4/20/18, 06:45",,,,,,,5.5
"4/19/18, 15:00",,,,,,,4
"4/19/18, 12:00",,,,,,,4
"4/19/18, 09:30",,,,,,,6
"4/19/18, 06:30",,,,,,,6
"4/18/18, 15:00",,,,,,,4
"4/18/18, 12:00",,,,,,,4.5
"4/18/18, 09:00",,,,,,,5.5
"4/18/18, 06:00",,,,,,,8
"4/17/18, 15:00",,,,,,,3.5
"4/17/18, 12:00",,,,,,,2.5
"4/17/18, 09:00",,,,,,,4.5
"4/17/18, 06:30",,,,,,,7.5
"4/16/18, 15:00",,,,,,,3
"4/16/18, 12:00",,,,,,,4
"4/16/18, 09:00",,,,,,,7.5
"4/16/18, 06:00",,,,,,,10.5
"4/13/18, 15:00",,,,,,,3.5
"4/13/18, 13:00",,,,,,,3
"4/13/18, 11:00",,,,,,,4
"4/13/18, 09:00",,,,,,,8
"4/13/18, 06:45",,,,,,,7
"4/12/18, 11:00",,,,,,,5
"4/12/18, 08:30",,,,,,,5
"4/12/18, 07:00",,,,,,,8
"4/11/18, 15:00",,,,,,,2
"4/11/18, 13:00",,,,,,,4
"4/11/18, 11:00",,,,,,,4.5
"4/11/18, 09:00",,,,,,,7
"4/11/18, 06:45",,,,,,,6
"4/10/18, 15:00",,,,,,,3.75
"4/10/18, 13:00",,,,,,,3
"4/10/18, 11:00",,,,,,,4.5
"4/10/18, 08:30",,,,,,,7.75
"4/10/18, 06:45",,,,,,,6
"4/9/18, 15:00",,,,,,,3
"4/9/18, 12:30",,,,,,,4
"4/9/18, 11:00",,,,,,,4.5
"4/9/18, 09:00",,,,,,,3.25
"4/9/18, 06:45",,,,,,,7
"4/6/18, 15:00",,,,,,,5
"4/6/18, 12:00",,,,,,,4.5
"4/6/18, 09:00",,,,,,,6.5
"4/6/18, 06:45",,,,,,,7
"4/5/18, 15:00",,,,,,,5
"4/5/18, 12:00",,,,,,,5
"4/5/18, 09:00",,,,,,,4
"4/5/18, 06:45",,,,,,,10.5
"4/4/18, 12:30",,,,,,,4.5
"4/4/18, 09:30",,,,,,,7.5
"4/4/18, 06:30",,,,,,,6
"4/3/18, 15:00",,,,,,,3
"4/3/18, 12:00",,,,,,,6.5
"4/3/18, 09:00",,,,,,,4
"4/2/18, 12:00",,,,,,,5.5
"4/2/18, 09:00",,,,,,,4
"3/29/18, 13:00",,,,,,,5.5
"3/29/18, 10:30",,,,,,,10.5
"3/28/18, 14:30",,,,,,,4
"3/28/18, 12:45",,,,,,,6
"3/28/18, 09:00",,,,,,,9
"3/27/18, 15:00",,,,,,,5
"3/27/18, 12:30",,,,,,,6
"3/27/18, 09:27",,,,,,,7.5
"3/26/18, 15:23",,,,,,,4.5
"3/26/18, 11:53",,,,,,,5
"3/26/18, 09:28",,,,,,,8.5
"3/23/18, 15:30",,,,,,,4.5
"3/23/18, 12:35",,,,,,,5.75
"3/23/18, 09:45",,,,,,,6.5
"3/21/18, 15:30",,,,,,,5
"3/21/18, 12:00",,,,,,,6
"3/21/18, 09:00",,,,,,,8
"3/20/18, 15:45",,,,,,,5.5
"3/20/18, 12:00",,,,,,,6.5
"3/20/18, 09:25",,,,,,,6.5
"2/9/18, 07:00",,,,,,,8.5
"2/8/18, 06:00",,,,,,,4.5
"2/5/18, 08:06",,,,,,,9.5
"2/3/18, 20:28",,,,,,,5
"2/2/18, 08:00",,,,,,,6.5
"2/1/18, 20:00",,,,,,,5
"1/31/18, 20:21",,,,,,,4
"1/31/18, 08:12",,,,,,,4.5
"1/30/18, 20:00",,,,,,,3.5
"1/30/18, 08:00",,,,,,,6
"1/29/18, 08:10",,,,,,,5.5
"1/28/18, 10:42",,,,,,,5
"1/27/18, 21:15",,,,,,,2.5
"1/27/18, 10:04",,,,,,,5
"1/26/18, 20:11",,,,,,,3
"1/26/18, 08:10",,,,,,,7
"1/25/18, 13:48",,,,,,,4
"1/24/18, 20:30",,,,,,,3
"1/24/18, 08:15",,,,,,,5
"1/23/18, 20:34",,,,,,,3
"1/23/18, 11:00",,,,,,,6
"1/22/18, 20:37",,,,,,,3
"1/22/18, 17:00",,,,,,,4.5
"1/22/18, 07:30",,,,,,,6
"1/21/18, 20:00",,,,,,,3
"1/21/18, 13:30",,,,,,,3.5
"1/21/18, 07:30",,,,,,,6
"1/20/18, 21:00",,,,,,,3
"1/20/18, 10:30",,,,,,,3
"1/20/18, 09:30",,,,,,,1
"1/19/18, 21:04",,,,,,,1.5
"1/19/18, 16:06",,,,,,,3
"1/19/18, 08:00",,,,,,,4
"1/18/18, 22:20",,,,,,,3
"1/18/18, 08:00",,,,,,,4
"1/17/18, 22:09",,,,,,,2
"1/17/18, 10:00",,,,,,,5
"1/16/18, 16:00",,,,,,,4
"1/15/18, 22:00",,,,,,,2
"1/15/18, 15:00",,,,,,,2
"1/15/18, 08:45",,,,,,,3
"1/14/18, 14:59",,,,,,,0.5
"1/14/18, 10:45",,,,,,,1.5
"1/14/18, 09:28",,,,,,,1
"1/13/18, 23:40",,,,,,,1
