subject,trialNumber,product_A,product_B,response,attention
sona-26675,0,skateboard,coffee,777,0
sona-26675,1,earrings,pen,1,0
sona-26675,2,jacket,bicycle,270,0
sona-26675,3,paper notebook,dress,1e3,0
sona-26675,4,earrings,wallet,1,0
sona-26675,5,paper notebook,band-aid,422,0
sona-26675,6,shoes,band-aid,1,0
sona-26675,7,smart phone,headphones,264,0
sona-26675,8,shirt,computer keyboard,152,0
sona-26675,9,skateboard,basketball,251,0
sona-26675,10,laptop,water bottle,1,0
sona-26675,11,concert tickets,yoga mat,1,0
sona-26675,12,pencil,water bottle,635,0
sona-26675,13,video games,dishes,213,0
sona-26675,14,lipstick,tie,409,0
sona-26675,15,chocolate,backpack,305,0
sona-26675,16,video games,calculator,251,0
sona-26675,17,swimming suit,earrings,989,0
sona-26675,18,earrings,necklace,768,1
sona-26675,19,watch,smart phone,1e3,0
sona-26675,20,dress,wallet,1,0
sona-26675,21,glasses,swimming suit,330,0
sona-26675,22,guitar,basketball,67,0
sona-26675,23,baseball cap,dress,756,0
sona-26675,24,paper notebook,jacket,1e3,0
sona-26675,25,swimming suit,dishes,94,0
sona-26675,26,pen,socks,369,0
sona-26675,27,laptop,swimming suit,274,0
sona-26675,28,scarf,band-aid,1,0
sona-26675,29,headphones,granola bar,1,0
sona-26675,30,watch,tie,233,0
sona-26675,31,skateboard,pencil,1,0
sona-26675,32,pen,camera,1e3,0
sona-26675,33,athletic clothes,guitar,336,0
sona-26675,34,makeup foundation,bicycle,318,0
sona-26675,35,band-aid,sunglasses,1e3,0
sona-26675,36,laptop,tie,1e3,1
sona-26675,37,paper notebook,ring,1e3,0
sona-26675,38,skateboard,detergent,337,0
sona-26675,39,concert tickets,pen,1,0
sona-26675,40,calculator,wallet,784,0
sona-26675,41,video games,earrings,696,0
sona-26675,42,laptop,chocolate,1,0
sona-26675,43,concert tickets,wine,725,0
sona-26675,44,bicycle,granola bar,1,0
sona-26675,45,scarf,makeup foundation,664,0
sona-26675,46,pencil,basketball,678,0
sona-26675,47,beanie,tie,356,0
sona-26675,48,headphones,car,1e3,0
sona-26675,49,napkin,chocolate,1e3,0
sona-26675,50,desktop computer,basketball,1,0
sona-26675,51,books,cooking pot,392,0
sona-26675,52,scarf,necklace,1e3,0
sona-26675,53,laptop,pants,1,0
sona-26675,54,lipstick,computer keyboard,313,0
sona-26670,0,beanie,dress,1e3,0
sona-26670,1,beanie,video games,945,0
sona-26670,2,watch,computer keyboard,2,0
sona-26670,3,necklace,paper notebook,44,0
sona-26670,4,desktop computer,smart phone,885,0
sona-26670,5,paper notebook,wallet,44,0
sona-26670,6,necklace,desktop computer,1,0
sona-26670,7,lipstick,yoga mat,1,0
sona-26670,8,dishes,pen,1,0
sona-26670,9,band-aid,earrings,1e3,0
