"stage","gender","ethnicity"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Black"
"Undergrad","Female","Native American"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","Asian"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
"Undergrad","Female","White"
