Grouping,Occupation,Total.N,Total.Ave,Men.N,Men.Ave,Women.N,Women.Ave
4,"Total, full time wage and salary workers",104262,776,57994,860,46268,706
3,"Management, professional, and related occupations",41820,1132,20290,1349,21530,973
2,"Management, business, and financial operations occupations",17137,1208,9200,1412,7937,1049
1,Management occupations,11501,1285,6764,1456,4737,1103
0,Chief executives,1051,2069,764,2266,286,1811
0,General and operations managers,947,1370,698,1444,250,1161
0,Legislators,10, ,6, ,4, 
0,Advertising and promotions managers,53,1526,18, ,35, 
0,Marketing and sales managers,829,1389,476,1658,353,1124
0,Public relations and fundraising managers,51,1159,21, ,29, 
0,Administrative services managers,109,1198,71,1232,38, 
0,Computer and information systems managers,570,1728,407,1769,163,1549
0,Financial managers,1127,1236,514,1518,613,1064
0,Compensation and benefits managers,11, ,3, ,8, 
0,Human resources managers,211,1327,60,1536,152,1240
0,Training and development managers,33, ,16, ,17, 
0,Industrial production managers,256,1338,215,1352,41, 
0,Purchasing managers,181,1358,92,1441,89,1290
0,"Transportation, storage, and distribution managers",252,1005,194,1029,58,920
0,"Farmers, ranchers, and other agricultural managers",97,731,78,716,19, 
0,Construction managers,414,1275,376,1328,38, 
0,Education administrators,698,1259,248,1543,450,1130
0,Architectural and engineering managers,117,1894,104,1898,13, 
0,Food service managers,716,701,381,801,335,620
0,Funeral service managers,4, ,1, ,3, 
0,Gaming managers,16, ,12, ,4, 
0,Lodging managers,98,901,45, ,53,858
0,Medical and health services managers,529,1258,154,1412,375,1224
0,Natural sciences managers,12, ,8, ,4, 
0,Postmasters and mail superintendents,30, ,13, ,17, 
0,"Property, real estate, and community association managers",358,862,161,1068,198,784
0,Social and community service managers,280,1042,94,1150,185,1004
0,Emergency management directors,9, ,6, ,3, 
0,"Managers, all other",2431,1264,1527,1399,905,1105
1,Business and financial operations occupations,5636,1091,2436,1263,3199,979
0,"Agents and business managers of artists, performers, and athletes",38, ,20, ,18, 
0,"Buyers and purchasing agents, farm products",17, ,11, ,5, 
0,"Wholesale and retail buyers, except farm products",158,899,71,871,88,930
0,"Purchasing agents, except wholesale, retail, and farm products",263,984,112,1116,151,912
0,"Claims adjusters, appraisers, examiners, and investigators",300,931,104,1144,195,838
0,Compliance officers,182,1124,83,1170,99,1081
0,Cost estimators,102,1050,89,1071,13, 
0,Human resources workers,498,981,131,1139,366,958
0,"Compensation, benefits, and job analysis specialists",72,1033,14, ,59,1010
0,Training and development specialists,109,1079,47, ,62,979
0,Logisticians,91,993,58,1045,33, 
0,Management analysts,547,1450,318,1614,229,1319
0,"Meeting, convention, and event planners",95,930,15, ,80,901
0,Fundraisers,80,1124,22, ,58,1084
0,Market research analysts and marketing specialists,190,1139,80,1171,110,967
0,"Business operations specialists, all other",180,1044,69,1226,110,899
0,Accountants and auditors,1516,1109,571,1268,945,1029
0,Appraisers and assessors of real estate,60,1142,33, ,27, 
0,Budget analysts,58,1389,31, ,26, 
0,Credit analysts,31, ,12, ,19, 
0,Financial analysts,89,1466,56,1757,33, 
0,Personal financial advisors,288,1424,215,1565,72,1149
0,Insurance underwriters,98,1045,37, ,61,879
0,Financial examiners,10, ,4, ,6, 
0,Credit counselors and loan officers,360,970,152,1162,208,864
0,"Tax examiners and collectors, and revenue agents",62,952,19, ,43, 
0,Tax preparers,56,767,22, ,34, 
0,"Financial specialists, all other",87,962,38, ,49, 
2,Professional and related occupations,24683,1071,11089,1295,13594,944
1,Computer and mathematical occupations,3621,1365,2693,1452,928,1174
0,Computer and information research scientists,15, ,12, ,3, 
0,Computer systems analysts,443,1367,285,1455,158,1216
0,Information security analysts,53,1460,43, ,10, 
0,Computer programmers,437,1372,332,1428,106,1162
0,"Software developers, applications and systems software",1053,1643,844,1737,209,1370
0,Web developers,137,1060,84,1157,53,937
0,Computer support specialists,474,980,340,1019,134,901
0,Database administrators,95,1345,65,1563,30, 
0,Network and computer systems administrators,210,1237,173,1252,37, 
0,Computer network architects,131,1630,122,1593,9, 
0,"Computer occupations, all other",359,1149,277,1136,81,1176
0,Actuaries,25, ,17, ,9, 
0,Mathematicians,2, ,2, ,0, 
0,Operations research analysts,119,1444,56,1569,63,1313
0,Statisticians,65,1414,42, ,23, 
